member_id,first_name,last_name,mail,phone_num,membership_date
,Nicole,Mccarty,nicolemcc@library.com,5119692625,2021-09-26
,Jessica,Patterson,jessicapat@library.com,5511178885,2023-12-04
,Sandra,Rodriguez,sandrarod@library.com,5438772734,2020-09-09
,Kayla,Davis,kayladav@library.com,5276147629,2024-10-08
,Brittany,Frey,brittanyfre@library.com,5230526775,2020-02-11
,Mark,Sanchez,marksan@library.com,5198690898,2023-09-10
,Johnny,Roberts,johnnyrob@library.com,5446461427,2024-08-03
,Cheryl,Long,cheryllon@library.com,5352160320,2021-05-17
,Dawn,Galloway,dawngal@library.com,5371949007,2023-08-08
,Michael,Spence,michaelspe@library.com,5429018309,2023-05-30
,Steven,Cole,stevencol@library.com,5158817249,2021-11-15
,Bruce,Peck,brucepec@library.com,5116319927,2020-07-29
,Raymond,Smith,raymondsmi@library.com,5228989443,2021-04-28
,Meagan,Jones,meaganjon@library.com,5066189826,2023-07-23
,Troy,Cowan,troycow@library.com,5315791340,2024-06-18
,Autumn,Boyd,autumnboy@library.com,5528139147,2022-07-21
,Joel,Watson,joelwat@library.com,5260247716,2023-09-14
,Laura,Maldonado,lauramal@library.com,5076003831,2024-02-09
,Allison,Jones,allisonjon@library.com,5334670460,2022-09-25
,Suzanne,Robertson,suzannerob@library.com,5409816935,2024-01-30
,Michael,Gomez,michaelgom@library.com,5206023198,2023-01-11
,Elizabeth,Spencer,elizabethspe@library.com,5106710991,2022-03-14
,John,Osborne,johnosb@library.com,5278903009,2022-09-22
,Michael,Myers,michaelmye@library.com,5090158365,2023-10-06
,Alex,Oliver,alexoli@library.com,5495531951,2022-05-26
,Richard,Lee,richardlee@library.com,5297468441,2020-10-04
,Maria,Wilson,mariawil@library.com,5494128847,2020-07-24
,Oscar,Davis,oscardav@library.com,5430651044,2024-10-29
,Sydney,Brooks,sydneybro@library.com,5097656489,2024-11-11
,Alexis,Henson,alexishen@library.com,5218014874,2023-09-03
,Amy,Garcia,amygar@library.com,5070528631,2021-06-10
,Kimberly,Bush,kimberlybus@library.com,5137228284,2023-09-06
,Ashley,Ward,ashleywar@library.com,5222523281,2024-02-16
,Darren,Johnson,darrenjoh@library.com,5080281836,2024-01-21
,Mark,Lee,marklee@library.com,5146416577,2024-03-18
,Lauren,Jones,laurenjon@library.com,5277276980,2023-05-20
,Danny,Allen,dannyall@library.com,5228078812,2022-08-11
,Mary,French,maryfre@library.com,5486771765,2020-02-20
,Angelica,Hansen,angelicahan@library.com,5098374462,2020-11-03
,Heather,Harris,heatherhar@library.com,5174030943,2024-11-17
,Christopher,Wood,christopherwoo@library.com,5038661667,2021-09-11
,Abigail,Smith,abigailsmi@library.com,5226253931,2024-08-09
,Holly,Kelly,hollykel@library.com,5431342406,2020-05-07
,Julie,Wall,juliewal@library.com,5100524538,2024-09-13
,Jonathan,Kennedy,jonathanken@library.com,5214904543,2021-04-24
,Justin,Pacheco,justinpac@library.com,5312524974,2024-02-02
,Joshua,Anderson,joshuaand@library.com,5375224515,2024-03-17
,James,Jones,jamesjon@library.com,5334690927,2021-08-28
,Alicia,Wilson,aliciawil@library.com,5203048199,2024-01-02
,Andrew,Hall,andrewhal@library.com,5537664159,2023-01-19
,Donald,Jarvis,donaldjar@library.com,5344785315,2023-10-19
,Mark,Huber,markhub@library.com,5051762050,2021-07-20
,Kimberly,Campbell,kimberlycam@library.com,5199604424,2023-11-05
,Antonio,Brandt,antoniobra@library.com,5236637186,2021-06-18
,Sabrina,Carey,sabrinacar@library.com,5472190256,2023-10-22
,Stephanie,Weaver,stephaniewea@library.com,5211572202,2023-04-20
,Kimberly,Bolton,kimberlybol@library.com,5201043735,2020-07-27
,Emily,Rose,emilyros@library.com,5333138148,2024-07-13
,James,Downs,jamesdow@library.com,5500350691,2020-12-21
,Adam,Walker,adamwal@library.com,5385129068,2022-09-07
,Kristen,Wilson,kristenwil@library.com,5199551697,2020-10-25
,Carla,Ross,carlaros@library.com,5178432070,2021-08-17
,Michelle,Smith,michellesmi@library.com,5385556324,2020-12-14
,Andrea,Aguirre,andreaagu@library.com,5521397824,2021-10-20
,Joseph,Mueller,josephmue@library.com,5218781689,2020-08-05
,Jennifer,Rojas,jenniferroj@library.com,5247548609,2024-01-30
,Lindsey,Smith,lindseysmi@library.com,5353628318,2022-08-15
,Michael,Sosa,michaelsos@library.com,5296296971,2021-08-30
,Bobby,Miller,bobbymil@library.com,5302387683,2020-10-18
,Frances,Torres,francestor@library.com,5057555754,2024-11-02
,Austin,Tate,austintat@library.com,5037709654,2021-04-26
,Timothy,Kim,timothykim@library.com,5332761339,2020-01-29
,Jeremy,Baker,jeremybak@library.com,5364827352,2020-09-12
,Cynthia,Wright,cynthiawri@library.com,5460630466,2022-10-16
,Tina,Evans,tinaeva@library.com,5461554641,2024-09-21
,Kenneth,Yates,kennethyat@library.com,5278935465,2022-05-01
,Kerry,Jones,kerryjon@library.com,5043213794,2021-03-22
,George,Choi,georgecho@library.com,5389674706,2022-02-05
,Kimberly,Nelson,kimberlynel@library.com,5088202434,2023-04-26
,Richard,Warren,richardwar@library.com,5520527967,2022-10-11
,Samantha,Mullins,samanthamul@library.com,5107275893,2020-09-25
,Nicole,Reilly,nicolerei@library.com,5199287086,2022-03-26
,Victor,Cameron,victorcam@library.com,5070633633,2024-04-09
,Danny,Hill,dannyhil@library.com,5538037636,2023-06-19
,Hannah,Cook,hannahcoo@library.com,5268860697,2021-10-30
,Cory,Smith,corysmi@library.com,5212034606,2023-04-13
,Nicole,Hester,nicolehes@library.com,5291876204,2023-04-02
,Heather,Patel,heatherpat@library.com,5405034720,2024-01-08
,James,Johnson,jamesjoh@library.com,5173888404,2023-08-10
,Stacy,Miller,stacymil@library.com,5321952176,2022-05-29
,Olivia,Murphy,oliviamur@library.com,5201718123,2022-09-09
,Shane,Pratt,shanepra@library.com,5410792677,2021-10-28
,Deborah,Heath,deborahhea@library.com,5362971247,2024-04-27
,Rhonda,Gross,rhondagro@library.com,5325226957,2021-12-19
,John,Velez,johnvel@library.com,5427650170,2024-04-27
,Jennifer,Collins,jennifercol@library.com,5036239810,2021-05-06
,Elizabeth,Long,elizabethlon@library.com,5288230270,2024-06-16
,Carlos,Weber,carlosweb@library.com,5374306212,2021-08-29
,Nicole,Ramirez,nicoleram@library.com,5225743740,2022-11-12
,Lisa,Hurley,lisahur@library.com,5198864413,2020-12-16
,Michelle,Anderson,michelleand@library.com,5142803644,2023-04-12
,Gregory,Johnson,gregoryjoh@library.com,5467340809,2023-01-08
,Corey,Allen,coreyall@library.com,5472555312,2024-12-14
,Scott,Brown,scottbro@library.com,5491065451,2022-07-08
,Kimberly,Stevenson,kimberlyste@library.com,5525486171,2023-07-05
,Erin,Morris,erinmor@library.com,5457653295,2022-08-23
,Jay,Norton,jaynor@library.com,5507790982,2021-11-19
,Ashley,Williamson,ashleywil@library.com,5499056031,2023-11-29
,Julie,Thompson,julietho@library.com,5279297742,2024-01-01
,Robert,Baldwin,robertbal@library.com,5416948096,2021-08-15
,Melissa,Moore,melissamoo@library.com,5390321176,2022-07-10
,Monica,Conner,monicacon@library.com,5048948945,2023-11-24
,Nathan,Ortiz,nathanort@library.com,5461117129,2024-09-19
,John,Rodriguez,johnrod@library.com,5433473120,2023-08-03
,John,Taylor,johntay@library.com,5499264756,2023-03-10
,Christopher,Clark,christophercla@library.com,5060273541,2024-02-07
,Lisa,Ferrell,lisafer@library.com,5380590937,2021-02-15
,Kevin,Howard,kevinhow@library.com,5428504216,2021-07-23
,Tricia,Boyle,triciaboy@library.com,5228836860,2020-12-21
,Ariel,Clements,arielcle@library.com,5088328135,2021-10-31
,Jeffrey,Sanchez,jeffreysan@library.com,5307381518,2021-09-28
,Peter,Johnson,peterjoh@library.com,5166929986,2023-07-01
,David,Reyes,davidrey@library.com,5085995638,2020-08-14
,Stephanie,Chen,stephanieche@library.com,5148435970,2022-09-23
,Jeremy,Carr,jeremycar@library.com,5048890636,2020-06-20
,Kelly,Brown,kellybro@library.com,5374327411,2020-09-06
,Ashley,Gregory,ashleygre@library.com,5427537078,2024-12-17
,Amy,Mitchell,amymit@library.com,5093140993,2022-01-13
,Earl,Harris,earlhar@library.com,5350266759,2022-06-25
,Barry,Nguyen,barryngu@library.com,5314725424,2021-08-05
,James,Simmons,jamessim@library.com,5495721165,2020-11-11
,Daniel,Snyder,danielsny@library.com,5037137345,2020-07-20
,Frank,Vargas,frankvar@library.com,5144746981,2022-08-10
,Robin,Velasquez,robinvel@library.com,5406954968,2022-05-28
,Brian,Conrad,briancon@library.com,5531400206,2021-03-21
,Cheyenne,Green,cheyennegre@library.com,5041440622,2020-03-20
,Michael,Martinez,michaelmar@library.com,5280918647,2020-07-11
,Joshua,Taylor,joshuatay@library.com,5536059266,2022-05-17
,Amanda,Johnson,amandajoh@library.com,5245277646,2024-04-15
,Matthew,Andrews,matthewand@library.com,5479559099,2022-06-23
,William,Webb,williamweb@library.com,5333432217,2020-04-22
,Justin,Garcia,justingar@library.com,5430706012,2022-07-03
,Anna,Curtis,annacur@library.com,5189737045,2021-08-02
,Kelly,Smith,kellysmi@library.com,5183411896,2021-01-02
,Mark,Hansen,markhan@library.com,5112768017,2020-07-09
,Henry,Lawrence,henrylaw@library.com,5169006883,2022-01-25
,Elizabeth,Brown,elizabethbro@library.com,5045111607,2024-10-06
,Steven,Brown,stevenbro@library.com,5371223497,2020-03-10
,Jose,Kelly,josekel@library.com,5374804583,2022-06-10
,Julie,Mclaughlin,juliemcl@library.com,5404617832,2024-04-25
,Adam,Benton,adamben@library.com,5216709526,2020-10-15
,Emily,Garcia,emilygar@library.com,5278377727,2022-10-02
,Don,Rice,donric@library.com,5299244332,2022-10-26
,Sarah,Gray,sarahgra@library.com,5087989983,2021-02-14
,Benjamin,Lowery,benjaminlow@library.com,5145223573,2024-05-06
,Dustin,Tucker,dustintuc@library.com,5106769289,2021-11-13
,Shannon,Daniels,shannondan@library.com,5108275709,2020-12-17
,Kristina,Smith,kristinasmi@library.com,5213240044,2020-03-20
,Bradley,Bennett,bradleyben@library.com,5115339531,2024-07-01
,Michael,Allen,michaelall@library.com,5512307425,2024-08-07
,Anthony,Ward,anthonywar@library.com,5057315829,2022-09-05
,Christina,Johnson,christinajoh@library.com,5425351085,2022-07-01
,Nicole,Brown,nicolebro@library.com,5525914405,2020-05-01
,Kevin,Jensen,kevinjen@library.com,5279052426,2023-03-04
,Kristine,Johnson,kristinejoh@library.com,5436906590,2021-09-17
,Sara,Sellers,sarasel@library.com,5459313236,2024-09-09
,William,Hernandez,williamher@library.com,5475742499,2020-10-21
,Ronald,Bell,ronaldbel@library.com,5356296237,2022-03-12
,Raymond,Smith,raymondsmi@library.com,5255485598,2023-11-07
,Jessica,Bell,jessicabel@library.com,5256745339,2020-09-12
,Kelly,Greene,kellygre@library.com,5537679019,2020-11-27
,Justin,Chen,justinche@library.com,5313851092,2024-01-07
,Andre,Mcintyre,andremci@library.com,5405346613,2020-07-25
,Gloria,Villegas,gloriavil@library.com,5426749003,2020-04-04
,William,Brooks,williambro@library.com,5298956141,2021-07-21
,David,Patterson,davidpat@library.com,5451497435,2020-10-14
,Alyssa,Vasquez,alyssavas@library.com,5172026379,2021-10-01
,Brandon,Brown,brandonbro@library.com,5167055218,2024-02-04
,Laurie,Young,laurieyou@library.com,5501153660,2022-04-12
,Cody,Walsh,codywal@library.com,5404637777,2024-08-10
,Christopher,Espinoza,christopheresp@library.com,5413618305,2023-06-23
,Kayla,Mack,kaylamac@library.com,5093843169,2023-06-01
,Jeremy,Sawyer,jeremysaw@library.com,5129020092,2024-08-10
,Christine,Perkins,christineper@library.com,5421503357,2024-10-20
,Joseph,Mitchell,josephmit@library.com,5457754257,2022-02-15
,Christina,Ortiz,christinaort@library.com,5218865744,2021-08-10
,Adam,Yates,adamyat@library.com,5335387763,2022-08-01
,Joshua,Griffin,joshuagri@library.com,5187604666,2024-07-17
,Jesse,Briggs,jessebri@library.com,5095392543,2021-07-14
,Katrina,Perez,katrinaper@library.com,5094215957,2020-11-13
,Mark,Lee,marklee@library.com,5244344245,2022-08-14
,Brian,Clark,briancla@library.com,5276003459,2022-07-02
,Donna,Parks,donnapar@library.com,5500546222,2023-04-06
,Ashley,Robertson,ashleyrob@library.com,5153575844,2023-02-08
,Steven,Marsh,stevenmar@library.com,5035776758,2024-03-07
,Andrea,Jones,andreajon@library.com,5508842876,2020-02-18
,Jennifer,Hicks,jenniferhic@library.com,5424120423,2022-08-30
,Erin,Walker,erinwal@library.com,5453067032,2021-09-02
,Marcus,Martinez,marcusmar@library.com,5290695252,2021-11-10
,Samantha,Pennington,samanthapen@library.com,5516102104,2023-11-15
,James,Hanson,jameshan@library.com,5118992999,2023-09-25
,Nicole,Smith,nicolesmi@library.com,5305612595,2024-11-01
,Jennifer,Watts,jenniferwat@library.com,5300423240,2024-06-27
,Donald,Lewis,donaldlew@library.com,5291345658,2024-09-29
,Tonya,Wallace,tonyawal@library.com,5292143550,2021-10-28
,Ian,Rodriguez,ianrod@library.com,5224600066,2020-12-23
,Jerry,Graham,jerrygra@library.com,5277889934,2024-08-26
,John,Barrett,johnbar@library.com,5229769774,2022-11-17
,Thomas,Byrd,thomasbyr@library.com,5211402684,2023-12-08
,John,Riley,johnril@library.com,5067473822,2023-10-13
,Emily,Garcia,emilygar@library.com,5136735631,2020-06-18
,Robin,Harris,robinhar@library.com,5376216290,2020-05-20
,Katrina,Williams,katrinawil@library.com,5309046030,2023-04-04
,Bryan,Hill,bryanhil@library.com,5274982495,2020-04-25
,Angela,Mccall,angelamcc@library.com,5096756873,2021-02-02
,Michael,Smith,michaelsmi@library.com,5474872295,2024-10-21
,Chelsea,Palmer,chelseapal@library.com,5253958930,2021-01-12
,Mike,Fitzpatrick,mikefit@library.com,5050997927,2020-11-23
,Glenn,Ware,glennwar@library.com,5522883401,2022-11-04
,Alexa,Davis,alexadav@library.com,5441927691,2022-08-31
,Anne,Lee,annelee@library.com,5532393143,2021-03-11
,Mark,Peterson,markpet@library.com,5317470946,2020-07-24
,Regina,Wheeler,reginawhe@library.com,5237399384,2021-05-24
,Michael,Rocha,michaelroc@library.com,5229368767,2024-09-02
,Theresa,Klein,theresakle@library.com,5175833118,2021-01-22
,David,Howard,davidhow@library.com,5318222105,2022-09-12
,Angela,Johnston,angelajoh@library.com,5379370289,2023-08-23
,Michael,Ramos,michaelram@library.com,5096796962,2022-10-07
,Mike,Burns,mikebur@library.com,5098167832,2023-11-06
,Lucas,Zavala,lucaszav@library.com,5088651093,2022-11-01
,Chad,Lamb,chadlam@library.com,5036479047,2021-08-15
,Lawrence,Mays,lawrencemay@library.com,5167055969,2024-05-08
,Jennifer,Hall,jenniferhal@library.com,5137310545,2024-08-04
,Victoria,Phillips,victoriaphi@library.com,5206133948,2024-06-06
,Cameron,Liu,cameronliu@library.com,5480218266,2020-10-30
,Troy,Hines,troyhin@library.com,5518188659,2023-11-10
,Jon,Franklin,jonfra@library.com,5066208883,2021-05-19
,Christina,Santos,christinasan@library.com,5467471579,2021-01-09
,Gail,Fowler,gailfow@library.com,5392512644,2020-07-31
,Darlene,Aguilar,darleneagu@library.com,5307517162,2023-05-21
,Thomas,Clark,thomascla@library.com,5395229263,2020-11-29
,Sara,Fitzpatrick,sarafit@library.com,5209952650,2021-02-01
,Elaine,Singleton,elainesin@library.com,5536701891,2021-02-23
,Sabrina,Hays,sabrinahay@library.com,5100261744,2020-09-09
,Martha,Wood,marthawoo@library.com,5187875535,2020-11-12
,Amanda,Chapman,amandacha@library.com,5089793649,2022-03-20
,Pamela,Simmons,pamelasim@library.com,5170964928,2023-01-25
,David,Henry,davidhen@library.com,5082726838,2024-09-25
,Courtney,Allen,courtneyall@library.com,5372768613,2020-04-01
,Jennifer,Fisher,jenniferfis@library.com,5156845789,2020-06-20
,Sara,Davis,saradav@library.com,5378048286,2021-02-25
,Matthew,Harris,matthewhar@library.com,5172660734,2024-09-24
,Karen,Lopez,karenlop@library.com,5372878302,2023-10-01
